step,type,origin_account,destination_account,amount,oldbalanceOrg,newbalanceOrig,oldbalancedest,newbalancedest,isFraud,isFlaggedFraud
455,TRANSFER,15947497,51617933,71576.43528181543,163718.6460746216,92142.21079280616,112362.03565420875,183938.47093602418,0,0
253,PAYMENT,34099454,52693220,97279.64222862784,179920.11895264717,277199.761181275,285214.29192297487,382493.9341516027,0,0
257,DEBIT,54161866,28637869,98306.6393144859,156386.51595764176,254693.15527212765,219598.1825434215,317904.8218579074,0,0
383,TRANSFER,86389029,13747537,158236.47891275404,39071.79216972167,-40046.44728665535,179597.54525911098,337834.024171865,1,0
442,CASH_IN,23732938,59926187,86936.53657622481,17349.727100276312,104286.26367650113,46805.592132730955,133742.12870895577,0,0
858,PAYMENT,15905015,92796219,73685.2773105929,121088.89706106846,194774.17437166136,46798.356100860794,120483.63341145369,0,0
599,PAYMENT,89722240,12728136,50109.013296090496,11418.952101976787,61527.96539806728,17425.083650459837,67534.09694655033,0,0
90,PAYMENT,65845588,52920688,132001.92498331802,134565.17771161685,68564.21521995784,259852.84373248054,391854.76871579856,1,0
749,DEBIT,47497048,62110054,123952.73127222549,106084.84406544852,44108.4784293358,180334.50352296265,304287.2347951881,1,0
390,CASH_OUT,36678093,19734663,93766.76944705304,132557.1465487327,38790.37710167967,212421.77333881365,306188.5427858667,0,0
582,DEBIT,28794859,47514449,35199.45777547036,118034.1547299488,153233.61250541915,6175.3482887407345,41374.806064211094,0,0
44,TRANSFER,20602727,78396307,44620.46415315238,84540.51390543455,39920.04975228217,290972.9556485983,335593.4198017507,0,0
712,CASH_OUT,87806981,90710599,67169.30649747989,40175.43602804565,0.0,249732.79224012652,316902.09873760643,0,0
664,TRANSFER,98197056,81323425,33396.90812794013,61140.42716209771,27743.51903415758,63701.73320348284,97098.64133142297,0,0
598,CASH_OUT,70565597,41268133,25433.37350728316,104900.1148437953,79466.74133651213,54547.49016213018,79980.86366941335,0,0
19,DEBIT,89296096,75885667,63108.62883308936,130373.6187295212,193482.2475626105,55021.35295603015,118129.98178911951,0,0
101,PAYMENT,39328829,63621239,2508.158387362126,155896.6033769057,158404.7617642678,91272.67288786132,93780.83127522345,0,0
914,CASH_IN,25057546,44520315,60575.7433352386,153434.14368981216,123146.27202219286,157426.92948967134,218002.67282490994,1,0
607,PAYMENT,58063516,98388259,51407.19675395221,194537.74865221707,245944.94540616928,129583.50559263473,180990.70234658694,0,0
766,DEBIT,46412957,91205297,60579.31551478823,57168.289732681886,117747.60524747011,87368.74205941257,147948.0575742008,0,0
357,CASH_OUT,32140144,32039541,63191.69712309604,14222.141642687358,0.0,183555.86841671384,246747.56553980988,0,0
542,PAYMENT,89124222,95304121,52709.74514769144,69131.38710837185,121841.1322560633,41848.15819561255,94557.903343304,0,0
761,DEBIT,54360431,21295513,94564.43287596216,148658.89504481532,101376.67860683423,87643.39456056544,182207.8274365276,1,0
938,TRANSFER,64403658,23580215,81466.31206686622,87622.33020665904,46889.17417322593,109908.5529881075,191374.86505497372,1,0
33,CASH_IN,12311360,65663472,75314.35352949562,163557.6861178839,238872.0396473795,136820.99526511077,212135.3487946064,0,0
970,PAYMENT,44893316,35003622,72747.96460469918,109865.273037203,182613.23764190212,235552.78841790408,308300.7530226033,0,0
229,CASH_OUT,86850281,16730162,86962.94960864885,185958.3445261006,98995.39491745176,59902.13464750792,146865.08425615676,0,0
524,TRANSFER,46490736,31330769,18952.4488824086,189572.6883998137,170620.23951740516,154270.33152408348,173222.78040649206,0,0
630,DEBIT,39922419,69472836,40120.78546948484,13860.901203749743,53981.68667323458,177724.37065861275,217845.1561280976,0,0
862,CASH_IN,47664786,89362935,54421.45281866715,91282.68794248486,64071.96153315128,13935.123815999317,68356.57663466648,1,1
155,CASH_OUT,84115857,62876293,100869.6223227054,121937.8122499136,71503.00108856091,182263.4555704315,283133.0778931369,1,0
423,DEBIT,20876528,39952118,12495.758989823207,51174.50816244256,63670.26715226576,51157.23710618746,63652.99609601067,0,0
905,DEBIT,45844601,36827409,199789.7251904815,81415.35587579604,-18479.506719444704,19515.477895583856,219305.20308606536,1,0
246,PAYMENT,58952124,70921064,10958.002345720672,135536.30822353967,146494.31056926036,284665.66117599997,295623.6635217206,0,0
405,PAYMENT,14254379,22728884,20293.295340399243,45346.84537967228,65640.14072007153,289689.6099223678,309982.90526276705,0,0
844,CASH_OUT,35304372,23817735,60882.05194799778,120396.27059489048,89955.24462089161,242519.20443493835,303401.25638293615,1,1
759,DEBIT,94900405,56227062,54140.850213229234,139489.56563286122,193630.41584609047,91384.1307520112,145524.98096524045,0,0
541,PAYMENT,90396397,28722921,58507.99303276068,18099.26221917335,-11154.73429720699,29301.63420191516,87809.62723467583,1,0
161,CASH_IN,55805307,44506680,138534.6796109538,99505.86320549056,30238.52340001364,205269.90795364708,343804.58756460086,1,0
747,CASH_IN,61574290,20319463,96656.22626632875,52616.00598483816,149272.23225116692,132045.7481218804,228701.97438820917,0,0
702,DEBIT,45488435,30785285,58896.33422016452,144877.27119960892,115429.10408952666,36611.47045343365,95507.80467359818,1,0
117,PAYMENT,30646756,12054879,26047.70684770296,37911.101707388094,63958.808555091055,148553.07303338105,174600.77988108402,0,0
271,CASH_OUT,70972272,70881487,83841.57981283807,178447.58310762126,94606.0032947832,10316.55633456552,94158.1361474036,0,0
770,CASH_OUT,98150429,23067858,71564.91549000886,86188.26730366537,14623.35181365651,272796.1206236346,344361.03611364344,0,0
692,CASH_OUT,70357448,71031834,68697.274086001,39600.6060615107,0.0,77633.99448000507,146331.26856600607,0,0
487,CASH_IN,86816437,57501987,89312.44299483403,87604.35927006586,176916.8022648999,198756.6853061946,288069.1283010286,0,0
885,PAYMENT,90475258,34384440,68944.81921579374,81748.75256170558,150693.57177749934,93513.32282682329,162458.14204261702,0,0
172,PAYMENT,77223673,20730358,28386.9563247245,85783.79189874206,114170.74822346657,156020.40635334325,184407.36267806776,0,0
950,CASH_IN,82327225,84962540,69389.37755595447,117112.25869948938,186501.63625544385,164013.0838029839,233402.46135893837,0,0
274,CASH_OUT,41363648,53470374,57505.37546521351,104234.7449827075,75482.05725010074,55456.33665765811,112961.71212287163,1,0
259,CASH_OUT,10202751,96472439,75926.30557590294,29955.42633618053,0.0,290875.38832936756,366801.6939052705,0,0
135,DEBIT,80097474,82510867,61978.58797061168,13115.814529327265,75094.40249993895,232539.84700833436,294518.43497894605,0,0
683,TRANSFER,93712904,46354441,7750.38108295521,145883.0897453081,138132.70866235287,281849.68246925675,289600.06355221197,0,0
722,PAYMENT,72347819,41922689,51288.40788988985,111943.4871856627,163231.89507555254,268448.20512829465,319736.6130181845,0,0
748,PAYMENT,93677184,20809819,34336.66390988214,71800.15361585275,106136.81752573488,179369.99364332555,213706.65755320768,0,0
422,PAYMENT,37417935,37040482,197629.00875778453,161671.56449961476,62857.0601207225,276562.270506935,474191.2792647196,1,0
421,TRANSFER,71721256,17211627,60229.607674701954,77611.69485219139,17382.087177489433,26547.75061557585,86777.3582902778,0,0
186,DEBIT,62979609,93933824,32239.2591986978,159193.0179201215,191432.2771188193,58794.85872574356,91034.11792444135,0,0
929,TRANSFER,46314557,81064868,134619.04156429946,61151.22550247494,-6158.295279674792,13568.18667316142,148187.2282374609,1,0
364,CASH_OUT,87865485,59367147,7088.435686757332,14569.05950903995,7480.623822282618,97599.0992289793,104687.53491573664,0,0
955,CASH_OUT,69249366,15017168,66042.22135705859,186527.93875998585,120485.71740292724,116603.1869068446,182645.40826390317,0,0
607,PAYMENT,20796969,10734849,80921.38841763756,78910.22585627463,159831.6142739122,81404.70953216877,162326.0979498063,0,0
378,CASH_IN,75365794,52583871,192130.0776100168,158538.51456987558,62473.4757648672,248621.2527455788,440751.33035559556,1,0
523,PAYMENT,25315144,29928525,49727.94721004937,55828.826644460896,105556.77385451028,107025.99800807679,156753.94521812617,0,0
580,CASH_IN,17493256,80638588,95031.19830348076,129273.0224247312,224304.220728212,84280.35290621423,179311.551209695,0,0
891,TRANSFER,20136559,97791473,30000.849594908377,174662.17465154565,144661.32505663726,162808.82494747455,192809.67454238294,0,0
722,CASH_OUT,61946888,87960328,198526.3690446077,8328.804467996066,-90934.3800543078,42277.26749242879,240803.6365370365,1,1
196,CASH_IN,88194065,17191284,43204.617252629454,166127.15293721785,209331.7701898473,240659.0942262119,283863.7114788414,0,0
881,TRANSFER,33960767,78351662,3310.8634706737216,114266.60099438572,110955.737523712,22365.193103931248,25676.05657460497,0,0
98,CASH_OUT,68077654,53175073,95394.1358851156,121494.35078171385,26100.214896598234,296066.0809801552,391460.2168652708,0,0
605,CASH_IN,93857487,65873366,20999.70539434767,104631.60016119652,125631.30555554418,231673.4307889972,252673.13618334488,0,0
984,PAYMENT,26031003,68005097,197062.15403492103,174895.02065672848,76363.94363926796,59614.70446025172,256676.85849517275,1,0
22,PAYMENT,85523728,23935224,51167.59554034507,8686.671447127492,-16897.126323045042,1656.6351370807197,52824.23067742579,1,1
450,PAYMENT,66769101,21908741,21780.71267929652,52205.678307169626,73986.39098646614,244638.42853645026,266419.14121574676,0,0
172,TRANSFER,92598665,30713688,62126.44078271193,175152.50777183106,113026.06698911914,212057.20315428515,274183.64393699705,0,0
383,PAYMENT,98637327,75107571,171354.9049260998,150469.1405063912,64791.6880433413,218702.15041229618,390057.055338396,1,0
134,DEBIT,65390058,66740779,48362.62282452971,3529.032035721169,51891.65486025088,231381.1040057837,279743.72683031345,0,0
426,CASH_OUT,68915043,12974635,1474.566255975949,103401.25664194173,101926.69038596578,22213.39552022711,23687.961776203058,0,0
25,TRANSFER,37792407,93575581,92115.17657928236,105914.53614253495,13799.359563252598,107539.71856328179,199654.89514256414,0,0
503,PAYMENT,11016304,85660597,97608.84155971518,80176.42702558207,177785.26858529725,34760.71785753891,132369.5594172541,0,0
185,CASH_OUT,10686714,23326698,22236.05383619214,59478.66641239794,37242.61257620581,258931.02776267804,281167.08159887017,0,0
85,CASH_IN,16731152,14307007,158314.6169401821,136344.9700824684,57187.66161237736,186989.4380482674,345304.0549884495,1,0
567,PAYMENT,65209314,28647977,75374.48045444734,41558.092940950766,116932.57339539813,99269.40745579476,174643.8879102421,0,0
763,CASH_OUT,99254591,19931128,25345.40608894516,159789.71241434122,134444.30632539606,19067.50508580709,44412.911174752255,0,0
144,DEBIT,83892353,42215477,76739.26722331603,160607.43215349436,122237.79854183635,93294.69651469866,170033.9637380147,1,0
863,CASH_IN,45397273,71171313,57397.174320937,83052.2875145641,140449.4618355011,97554.99660802411,154952.17092896113,0,0
910,DEBIT,72413640,62879270,35084.25452480111,56709.60218192953,91793.85670673064,218881.85350141922,253966.10802622032,0,0
679,CASH_OUT,70498196,11971625,83271.04769747851,56775.63631814264,0.0,191267.24140656393,274538.28910404246,0,0
412,DEBIT,81798619,22150628,49345.73597433538,96458.26479924202,145804.0007735774,266163.82277289795,315509.55874723336,0,0
224,CASH_OUT,75569932,15901366,91164.17504171046,143915.84494987174,52751.66990816128,141664.47754858478,232828.65259029524,0,0
220,CASH_OUT,79196866,59518363,95798.88485498994,71773.73819877175,23874.295771276786,35878.27378149051,131677.15863648045,1,1
179,DEBIT,88162928,77339000,102139.97216879764,122008.6690915503,70938.68300715147,213973.4361668985,316113.40833569615,1,1
631,CASH_OUT,53823683,34530640,242.31737913170792,76496.89211651887,76254.57473738716,228235.51458506924,228477.83196420094,0,0
433,PAYMENT,62922451,76511957,107436.39922696784,60904.63783027667,7186.438216792747,168383.15927084888,275819.55849781673,1,0
265,CASH_OUT,88382271,38753588,90614.69223738668,4971.903183158833,0.0,231290.1539863683,321904.846223755,0,0
954,TRANSFER,52924685,32902673,5553.969118027103,782.8211470781276,0.0,148138.6789093172,153692.64802734432,0,0
429,CASH_OUT,63060322,40163091,83305.09605146758,45441.53556640089,0.0,156819.84881459823,240124.9448660658,0,0
662,TRANSFER,95134997,48062572,45785.91520659507,81281.25736019909,35495.34215360402,128262.30550756489,174048.22071415995,0,0
416,CASH_OUT,65782182,89933500,25903.57088644728,170252.23347241204,144348.66258596478,7625.738023228557,33529.308909675834,0,0
453,CASH_OUT,49038932,28934581,87875.86490245622,159696.84858608508,71820.98368362886,32367.428097991335,120243.29300044755,0,0
727,DEBIT,65997488,69350161,19674.756566706823,53433.05251759798,73107.8090843048,9428.755706020276,29103.5122727271,0,0
197,PAYMENT,11767080,54324488,94730.5269420125,48908.08859685987,143638.61553887237,190923.1233791341,285653.6503211466,0,0
554,PAYMENT,41072538,78521017,20570.09255505712,45464.41421400549,66034.5067690626,94306.794322898,114876.88687795511,0,0
53,CASH_IN,65952983,37017387,61372.18194099706,67847.4681057734,129219.65004677046,152571.20734941083,213943.38929040788,0,0
480,DEBIT,20114753,27162778,22316.402589552195,99639.74391233709,121956.14650188926,272269.9421778279,294586.3447673801,0,0
443,DEBIT,31211689,24377519,54571.40981021379,87733.55440631509,142304.96421652887,74787.66874466249,129359.07855487627,0,0
330,PAYMENT,40001797,39097658,68400.67324021498,43654.63975629876,112055.31299651372,123114.87691068892,191515.5501509039,0,0
251,DEBIT,59598322,10381671,19030.890802705555,26090.281988723607,45121.17279142916,226665.3415629146,245696.23236562015,0,0
807,PAYMENT,95175059,96113403,52093.369412240914,2515.5624972390765,54608.93190948,68639.44964748673,120732.81905972766,0,0
890,DEBIT,57941660,15787889,46911.283841568,30792.64773330077,77703.93157486877,23093.972948637896,70005.2567902059,0,0
783,CASH_OUT,94411795,91568992,7113.031766120091,141071.27403882364,133958.24227270356,86925.4358741304,94038.4676402505,0,0
967,PAYMENT,61156189,79543991,81832.59868935354,48727.71386911658,130560.31255847012,48366.386176201326,130198.98486555487,0,0
925,PAYMENT,53561227,54595783,33574.88324027774,93720.36202430195,127295.24526457972,278909.2957027719,312484.1789430497,0,0
123,TRANSFER,86657535,57511315,57462.47393321244,118260.22978464894,60797.7558514365,242436.11386932508,299898.58780253754,0,0
879,DEBIT,28844555,74523707,51483.27565096411,177368.18056632142,228851.4562172856,190021.12695312704,241504.40260409116,0,0
387,DEBIT,39075115,38037147,51330.91785199852,177771.0196786839,229101.9375306824,261438.17705631533,312769.0949083138,0,0
339,PAYMENT,94408116,41546585,10731.16719690666,149146.7467362718,159877.91393317847,241101.62306973434,251832.790266641,0,0
778,CASH_OUT,23739776,70639863,42353.96610484079,7031.398409700285,0.0,55971.01766581075,98324.98377065154,0,0
348,CASH_OUT,50341032,50110484,45242.15225306495,115014.08381708298,69771.93156401803,267767.69954699336,313009.8518000583,0,0
29,CASH_OUT,60521388,28266245,73366.9476080412,157316.69416630128,83949.74655826009,161802.67257469523,235169.62018273643,0,0
975,DEBIT,77119029,62055365,84003.48300375065,3457.608952672642,87461.09195642329,242232.04654921876,326235.5295529694,0,0
35,TRANSFER,95315377,71034322,90305.11036314024,109936.92273131566,64784.36754974554,268827.389977048,359132.5003401882,1,0
518,PAYMENT,36555424,88259917,192510.3732910109,171552.82915720588,75297.64251170041,95401.04249155916,287911.4157825701,1,0
396,CASH_IN,97756044,82867951,23692.57856494866,94820.4151684534,118512.99373340204,33015.577358303024,56708.15592325169,0,0
623,TRANSFER,41647362,49980936,16501.753345004578,821.2405794896904,0.0,68380.5487625825,84882.30210758708,0,0
294,CASH_IN,73312917,54778159,116990.2851659984,2202.671667121492,-56292.4709158777,128132.3365878769,245122.62175387528,1,0
589,TRANSFER,34130649,12514846,146208.98730849748,83327.2074827501,10222.713828501364,245404.42977674794,391613.4170852454,1,0
349,CASH_OUT,36111160,69855724,22947.05628041666,31001.733483350912,8054.677202934254,258219.17497690304,281166.2312573197,0,0
147,DEBIT,97493074,84542876,145065.14896977437,132890.1314186519,60357.55693376472,2085.639159357211,147150.78812913157,1,0
67,CASH_IN,98058012,47561735,5478.770525881003,141759.8529812308,147238.6235071118,153224.19077326971,158702.96129915072,0,0
904,TRANSFER,35894911,31610263,1776.8277790954337,35575.95909212572,33799.13131303029,125223.3009446337,127000.12872372913,0,0
520,DEBIT,21613731,67057752,10285.796582551682,177706.65770489696,187992.45428744864,66632.34314121907,76918.13972377076,0,0
122,CASH_IN,90419715,99958646,17228.02596756907,88381.56899578517,105609.59496335423,35959.61020010484,53187.63616767391,0,0
340,PAYMENT,34892314,26784456,43104.06304753183,28569.181518384747,71673.24456591658,101284.55142108838,144388.61446862022,0,0
175,TRANSFER,14714576,30549568,51056.92092727148,152850.31961387908,101793.3986866076,282872.91117375577,333929.83210102725,0,0
900,PAYMENT,68502953,36145481,14067.785898154823,157994.90000335456,172062.6859015094,96960.87960622658,111028.6655043814,0,0
691,CASH_OUT,73716882,53147513,42484.086319003385,127859.0945330915,85375.00821408811,155637.18652300982,198121.27284201322,0,0
597,PAYMENT,30068280,46747207,34181.46674416947,170693.11064051063,204874.5773846801,210905.68766855335,245087.15441272283,0,0
451,PAYMENT,95643337,50420620,176227.35860931847,147474.59440613427,59360.91510147504,109088.8807137882,285316.23932310665,1,0
557,TRANSFER,33453611,45034362,694.0064073548715,176441.14744539812,175747.14103804325,291534.6248162882,292228.6312236431,0,0
136,CASH_OUT,97429900,84461707,46707.11647350896,86777.60969709589,40070.493223586935,288734.1884826334,335441.3049561423,0,0
855,PAYMENT,46522885,47666228,103249.25615575304,149519.4256198885,97894.79754201198,75534.68874760925,178783.9449033623,1,0
16,DEBIT,95700126,68259915,22635.470641039265,199950.3126858089,222585.7833268481,149174.55176771563,171810.02240875488,0,0
333,CASH_IN,68647432,41976889,13189.36492136897,144986.23950392383,158175.6044252928,90263.4929450309,103452.85786639986,0,0
195,PAYMENT,92850529,52354273,88705.40401725171,22836.756047426432,111542.16006467814,85452.14831324028,174157.552330492,0,0
496,CASH_OUT,55000307,37012904,27509.7270010549,103663.7444858366,76154.0174847817,11066.08420635984,38575.811207414736,0,0
9,PAYMENT,61982728,96010473,22369.02585306855,117469.5582486056,139838.58410167415,182869.30019396904,205238.32604703758,0,0
828,CASH_IN,14370127,13792101,101578.0363313869,34842.1350142782,-15946.883151415255,150803.70696865846,252381.74330004537,1,0
334,CASH_OUT,65596229,54745169,81712.53884568447,192578.3268356076,110865.78798992306,15443.625374996805,97156.16422068127,0,0
